CASEID,HELPFUL,FAIR,TRUST,YEAR,AGE,SEX,RACE,HISPANIC,EDUC,DEGREE,MARITAL
  116,2,8,1,1972,36,2,1, 0,14,1,4
  117,2,1,2,1972,25,1,2, 0, 8,0,1
  118,1,3,3,1972,46,2,2, 0,11,0,4
  119,2,1,1,1972,54,2,2, 0, 2,0,1
  120,2,1,2,1972,27,2,2, 0,12,1,4
  121,1,1,2,1972,20,2,2, 0,12,0,5
  122,3,2,2,1972,53,1,2, 0, 6,0,1
  123,2,1,2,1972,47,1,2, 0, 3,0,1
  124,2,1,2,1972,70,1,2, 0, 8,0,2
  125,2,1,2,1972,69,2,1, 0, 8,0,1
  126,1,2,1,1972,49,2,1, 0,12,0,1
  127,2,1,2,1972,29,2,1, 0,16,3,1
  128,2,2,2,1972,48,2,1, 0,12,1,1
  129,1,2,2,1972,67,2,1, 0, 9,0,1
  130,2,1,2,1972,22,1,1, 0,12,1,3
  131,2,1,2,1972,75,1,1, 0, 6,0,1
  132,2,1,2,1972,38,1,1, 0,12,1,1
  133,1,2,1,1972,46,1,1, 0,15,1,1
  134,1,2,1,1972,63,2,1, 0, 8,0,1
  135,1,2,1,1972,34,2,1, 0,11,0,1
  136,2,1,2,1972,57,1,1, 0, 4,0,1
  137,1,1,2,1972,22,2,1, 0,13,1,5
  138,1,2,1,1972,46,1,1, 0, 8,0,1
  139,2,2,1,1972,73,2,1, 0,11,0,1
  140,2,2,2,1972,73,1,1, 0,12,1,1
  141,2,1,2,1972,53,1,1, 0,12,1,1
  142,1,2,1,1972,84,2,1, 0,12,1,2
  143,2,1,1,1972,27,1,1, 0,14,1,1
  144,2,2,2,1972,69,2,1, 0,10,0,3
  145,1,2,1,1972,82,2,1, 0, 5,0,2
  146,2,2,2,1972,67,2,1, 0,16,3,5
  147,2,2,2,1972,41,1,1, 0,12,1,1
  148,2,2,1,1972,72,1,1, 0, 2,0,3
  149,1,2,1,1972,38,1,1, 0,10,0,1
  150,1,2,1,1972,59,2,1, 0,12,1,1
  151,2,1,2,1972,42,1,1, 0,12,1,1
  152,1,1,1,1972,48,1,1, 0,12,1,1
  153,2,2,1,1972,59,2,1, 0,10,0,1
  154,2,2,1,1972,39,2,1, 0,11,0,1
  155,1,2,2,1972,49,2,1, 0,12,1,1
  156,2,2,1,1972,33,2,1, 0,12,1,1
  157,2,2,2,1972,53,2,1, 0,11,0,2
  158,2,1,2,1972,30,2,1, 0,12,1,1
  159,2,2,1,1972,25,1,1, 0,12,1,1
  160,1,2,1,1972,36,2,1, 0, 9,0,3
  161,3,1,2,1972,30,1,1, 0,12,1,1
  162,3,3,2,1972,28,1,1, 0, 9,0,1
  163,3,2,2,1972,52,1,1, 0, 8,0,1
  164,2,2,1,1972,44,1,1, 0,10,0,1
  165,2,1,2,1972,50,1,1, 0,18,4,5
  166,3,1,1,1972,38,2,1, 0,18,3,4
  167,1,1,2,1972,26,1,1, 0,18,3,5
  168,1,2,1,1972,28,2,1, 0,12,1,1
  169,1,2,1,1972,81,2,1, 0,14,1,1
  170,2,2,1,1972,55,2,1, 0,12,1,1
  171,1,2,1,1972,76,1,1, 0,12,0,1
  172,2,2,1,1972,29,1,1, 0,12,1,1
  173,2,1,2,1972,19,1,1, 0,10,0,5
  174,1,2,2,1972,76,2,1, 0,10,0,5
  175,1,2,1,1972,61,1,1, 0,19,4,5
  176,1,2,1,1972,26,1,1, 0,16,3,1
  177,1,2,1,1972,39,2,1, 0,14,1,3
  178,2,2,2,1972,19,1,1, 0, 9,0,5
  179,1,3,1,1972,26,2,1, 0,16,3,1
  180,1,2,2,1972,21,2,1, 0,12,1,5
  181,3,3,2,1972,45,2,2, 0,10,0,1
  182,1,2,2,1972,27,2,2, 0,12,1,1
  183,2,1,2,1972,76,1,2, 0, 1,0,2
  184,1,8,1,1972,63,2,2, 0, 5,0,2
  185,3,1,2,1972,52,1,2, 0, 6,0,1
  186,1,1,2,1972,65,1,2, 0, 1,0,1
  187,1,2,1,1972,59,1,2, 0, 2,0,1
  188,1,2,1,1972,26,1,1, 0,14,1,5
  189,1,2,1,1972,41,2,1, 0,16,3,1
  190,2,2,3,1972,56,1,1, 0,18,4,1
  191,2,2,1,1972,62,1,1, 0,15,1,1
  192,1,2,1,1972,29,1,1, 0,18,4,1
  193,2,1,2,1972,25,2,1, 0,16,3,1
  194,1,2,1,1972,41,2,1, 0,12,1,1
  195,2,1,1,1972,21,2,1, 0,12,0,5
  196,1,2,1,1972,49,2,1, 0,12,1,3
  197,1,2,1,1972,38,1,1, 0, 9,0,1
  198,2,1,2,1972,50,1,1, 0,12,1,1
  199,3,1,1,1972,43,1,1, 0,12,1,1
  200,1,2,2,1972,32,1,1, 0,13,1,1
  201,2,2,1,1972,55,2,1, 0,12,1,3
  202,1,2,1,1972,27,2,1, 0,14,2,1
  203,2,2,1,1972,56,1,1, 0,13,1,1
  204,1,3,2,1972,48,2,1, 0, 8,0,1
  205,1,1,1,1972,56,1,1, 0,10,0,1
  206,2,1,2,1972,44,2,1, 0, 3,0,1
  207,1,1,8,1972,25,2,1, 0, 9,0,3
  208,1,1,1,1972,32,1,1, 0,10,0,1
  209,2,2,1,1972,33,2,1, 0,13,1,1
  210,1,2,1,1972,48,1,1, 0,11,0,1
  211,2,1,2,1972,45,1,1, 0,12,1,1
  212,2,2,1,1972,45,2,1, 0,10,0,2
  213,2,2,2,1972,72,1,1, 0, 7,0,1
  214,3,1,2,1972,45,2,2, 0, 9,0,4
  215,1,1,2,1972,70,2,2, 0, 6,0,4
  216,3,2,2,1972,31,2,2, 0,14,1,1
  217,2,1,2,1972,20,1,2, 0,12,1,5
  218,2,3,2,1972,22,2,2, 0, 9,0,4
  219,2,1,2,1972,63,1,2, 0, 4,0,1
  220,2,1,2,1972,70,1,2, 0, 6,0,1
  221,2,3,3,1972,68,1,1, 0,11,0,1
  222,1,2,1,1972,43,2,1, 0,12,1,1
  223,1,2,2,1972,53,2,1, 0,17,4,1
  224,2,2,1,1972,44,2,1, 0,12,1,1
  225,2,2,1,1972,37,2,1, 0,15,1,1
  226,2,1,2,1972,55,1,1, 0,12,1,1
  227,1,2,1,1972,52,1,1, 0,14,1,1
  228,2,2,1,1972,64,1,1, 0,10,0,1
  229,1,3,3,1972,99,1,1, 0,12,1,1
  230,1,2,1,1972,64,1,1, 0,11,0,5
  231,1,2,2,1972,27,2,1, 0,16,3,5
  232,1,2,1,1972,28,1,1, 0,14,1,1
  233,3,2,1,1972,22,1,1, 0,15,1,5
  234,1,2,1,1972,61,2,1, 0,14,1,1
  235,1,1,1,1972,82,2,1, 0,15,1,2
  236,1,2,1,1972,22,1,1, 0,12,1,5
  237,2,2,2,1972,30,2,1, 0,10,0,1
  238,2,2,2,1972,29,2,1, 0,12,1,1
  239,2,1,2,1972,60,1,1, 0, 4,0,1
  240,1,8,2,1972,39,2,1, 0, 4,0,1
  241,2,1,2,1972,21,2,1, 0, 9,0,1
  242,2,1,3,1972,56,1,1, 0, 7,0,1
  243,2,2,1,1972,72,1,1, 0, 5,0,1
  244,2,3,2,1972,61,1,1, 0, 8,0,1
  245,1,2,1,1972,71,1,1, 0,20,4,3
  246,1,2,2,1972,56,2,1, 0, 9,0,1
  247,2,1,2,1972,71,2,1, 0, 5,0,1
  248,2,1,2,1972,48,1,1, 0,14,1,1
